,City,Country,Lat,Lng,Date,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
24,goderich,CA,43.74,-81.71,"06/25/19, 18:28:52",24,76,71.01,14.0
25,maniitsoq,GL,65.42,-52.9,"06/25/19, 18:32:29",100,92,41.47,8.03
26,cherskiy,RU,68.75,161.3,"06/25/19, 18:32:29",2,36,65.41,3.56
27,dillon,US,45.22,-112.64,"06/25/19, 18:32:30",75,62,63.0,6.93
28,albany,US,42.65,-73.75,"06/25/19, 18:32:30",90,100,81.0,4.7
29,sao filipe,CV,14.9,-24.5,"06/25/19, 18:32:30",2,82,74.95,19.84
30,te anau,NZ,-45.41,167.72,"06/25/19, 18:32:30",1,83,37.51,4.0
31,jamestown,AU,-33.21,138.6,"06/25/19, 18:28:04",0,58,45.79,8.14
32,scarborough,GB,54.28,-0.41,"06/25/19, 18:32:31",100,93,57.99,9.17
33,henties bay,NA,-22.12,14.28,"06/25/19, 18:28:20",72,91,55.0,5.99
34,atuona,PF,-9.8,-139.03,"06/25/19, 18:32:31",15,75,81.25,21.56
35,neuquen,AR,-38.95,-68.06,"06/25/19, 18:29:17",0,30,55.4,10.29
36,bluff,AU,-23.58,149.07,"06/25/19, 18:32:31",55,81,54.25,8.23
37,abu kamal,SY,34.45,40.92,"06/25/19, 18:32:31",0,12,98.71,6.82
38,ambanja,MG,-13.68,48.45,"06/25/19, 18:32:31",0,65,79.81,6.62
39,georgetown,GY,6.8,-58.16,"06/25/19, 18:32:32",40,70,87.8,11.41
40,ternate,PH,14.29,120.72,"06/25/19, 18:32:32",75,88,81.0,5.82
41,mweka,CD,-4.85,21.56,"06/25/19, 18:32:32",2,34,76.39,2.35
42,new norfolk,AU,-42.78,147.06,"06/25/19, 18:27:55",0,75,48.99,8.05
43,dukat,RS,42.44,22.31,"06/25/19, 18:28:50",7,66,75.0,8.01
44,provideniya,RU,64.42,-173.23,"06/25/19, 18:32:32",98,81,39.85,12.59
45,vershino-darasunskiy,RU,52.35,115.52,"06/25/19, 18:32:32",88,56,58.21,4.68
46,hobart,AU,-42.88,147.33,"06/25/19, 18:30:03",0,75,48.99,8.05
47,south lake tahoe,US,38.93,-119.98,"06/25/19, 18:32:33",1,15,80.01,8.05
48,yarmouth,GB,50.71,-1.5,"06/25/19, 18:32:33",20,64,73.4,4.7
49,dingle,PH,11.0,122.67,"06/25/19, 18:32:33",97,88,75.67,1.74
50,trairi,BR,-3.28,-39.27,"06/25/19, 18:32:33",0,51,85.39,8.68
51,vaini,IN,15.34,74.49,"06/25/19, 18:31:45",72,89,78.91,3.51
52,lata,IN,30.78,78.62,"06/25/19, 18:32:33",74,90,40.21,0.22
53,general roca,AR,-39.03,-67.58,"06/25/19, 18:28:11",0,30,55.4,10.29
54,butaritari,KI,3.07,172.79,"06/25/19, 18:32:34",100,81,82.69,14.18
55,arraial do cabo,BR,-22.97,-42.02,"06/25/19, 18:29:34",0,65,84.2,13.87
56,lyuban,BY,52.8,28.0,"06/25/19, 18:32:34",36,76,66.13,5.86
57,vestmannaeyjar,IS,63.44,-20.27,"06/25/19, 18:32:34",90,100,51.8,17.22
58,mlonggo,ID,-6.53,110.7,"06/25/19, 18:32:34",19,79,80.35,9.06
59,chokurdakh,RU,70.62,147.9,"06/25/19, 18:28:35",0,40,66.67,10.49
60,kipini,KE,-2.53,40.53,"06/25/19, 18:32:34",40,83,78.8,14.74
61,coihueco,CL,-36.63,-71.83,"06/25/19, 18:32:34",40,53,55.0,5.82
62,bayburt,TR,40.26,40.22,"06/25/19, 18:32:35",66,94,57.31,8.03
63,castro,CL,-42.48,-73.76,"06/25/19, 18:32:35",90,93,44.6,11.41
64,tecoanapa,MX,16.99,-99.26,"06/25/19, 18:32:35",90,83,82.4,3.36
65,hofn,IS,64.25,-15.21,"06/25/19, 18:32:35",99,90,42.91,12.28
66,kieta,PG,-6.22,155.63,"06/25/19, 18:32:36",100,78,81.79,7.47
67,luderitz,NA,-26.65,15.16,"06/25/19, 18:32:36",0,87,55.4,13.87
68,bethel,US,60.79,-161.76,"06/25/19, 18:32:36",90,87,60.8,4.7
69,marawi,PH,8.0,124.29,"06/25/19, 18:32:37",100,92,75.99,5.01
70,faanui,PF,-16.48,-151.75,"06/25/19, 18:32:37",69,72,79.09,15.52
71,busselton,AU,-33.64,115.35,"06/25/19, 18:32:37",56,82,55.99,24.81
72,pangnirtung,CA,66.15,-65.72,"06/25/19, 18:32:37",20,66,48.2,10.29
73,ushuaia,AR,-54.81,-68.31,"06/25/19, 18:31:58",40,90,32.0,9.17
74,punta arenas,CL,-53.16,-70.91,"06/25/19, 18:32:38",20,64,39.2,10.29
75,taoudenni,ML,22.68,-3.98,"06/25/19, 18:32:38",0,4,114.55,12.28
76,norman wells,CA,65.28,-126.83,"06/25/19, 18:32:38",90,93,51.8,16.11
77,klaksvik,FO,62.23,-6.59,"06/25/19, 18:32:38",99,87,51.8,10.29
78,two rivers,US,44.15,-87.57,"06/25/19, 18:28:01",1,54,80.01,13.87
79,tansen,NP,27.87,83.55,"06/25/19, 18:32:38",4,84,71.35,3.76
80,kommunar,RU,59.62,30.39,"06/25/19, 18:32:38",0,39,66.2,6.71
81,qaanaaq,GL,77.48,-69.36,"06/25/19, 18:32:39",100,93,34.09,4.65
82,cedar city,US,37.68,-113.06,"06/25/19, 18:29:41",1,12,80.6,14.99
83,highland,US,34.13,-117.21,"06/25/19, 18:31:46",75,60,78.01,6.93
84,kudahuvadhoo,MV,2.67,72.89,"06/25/19, 18:32:39",96,73,84.49,7.0
85,tahlequah,US,35.92,-94.97,"06/25/19, 18:31:33",75,65,84.99,10.29
86,berlevag,NO,70.86,29.09,"06/25/19, 18:29:10",75,66,51.8,19.46
87,puerto ayora,EC,-0.74,-90.35,"06/25/19, 18:32:39",75,73,77.0,20.8
88,yeppoon,AU,-23.13,150.74,"06/25/19, 18:32:40",40,82,59.0,8.05
89,khatanga,RU,71.98,102.47,"06/25/19, 18:32:40",97,53,69.73,13.65
90,beringovskiy,RU,63.05,179.32,"06/25/19, 18:28:30",100,91,42.37,12.84
91,tiznit,MA,29.7,-9.73,"06/25/19, 18:32:40",0,88,70.27,5.1
92,bloemfontein,ZA,-29.12,26.22,"06/25/19, 18:32:40",0,48,41.0,1.12
93,vangaindrano,MG,-23.35,47.6,"06/25/19, 18:32:40",8,95,63.61,3.15
94,oranjestad,AW,12.52,-70.03,"06/25/19, 18:31:55",75,66,87.8,20.8
95,vila franca do campo,PT,37.72,-25.43,"06/25/19, 18:27:49",75,72,66.2,12.75
96,zeya,RU,53.74,127.27,"06/25/19, 18:32:41",99,97,50.11,1.74
97,mehamn,NO,71.03,27.85,"06/25/19, 18:32:41",75,71,51.8,18.34
98,yellowknife,CA,62.45,-114.38,"06/25/19, 18:31:04",20,37,71.6,8.05
99,dikson,RU,73.51,80.55,"06/25/19, 18:32:10",0,87,31.75,11.81
100,revda,RU,67.94,34.55,"06/25/19, 18:32:41",62,63,52.45,3.51
101,franca,BR,-20.54,-47.4,"06/25/19, 18:32:41",11,50,77.47,10.85
102,abha,SA,18.22,42.5,"06/25/19, 18:32:41",40,46,77.0,4.7
103,barrow,AR,-38.31,-60.23,"06/25/19, 18:32:41",16,40,50.47,21.32
104,new philadelphia,US,40.49,-81.45,"06/25/19, 18:30:48",75,50,82.4,8.05
105,nouadhibou,MR,20.93,-17.03,"06/25/19, 18:32:42",0,54,80.6,18.34
106,bud,NO,62.91,6.91,"06/25/19, 18:32:42",75,82,59.0,3.36
107,grants,US,35.15,-107.85,"06/25/19, 18:32:42",1,9,82.4,13.87
108,thompson,CA,55.74,-97.86,"06/25/19, 18:32:42",90,82,62.6,5.82
109,alta floresta,BR,-9.87,-56.08,"06/25/19, 18:32:42",0,32,93.2,5.82
110,severo-kurilsk,RU,50.68,156.12,"06/25/19, 18:32:42",100,98,43.27,12.26
111,vanimo,PG,-2.67,141.3,"06/25/19, 18:32:43",6,80,81.61,7.45
112,vardo,US,39.62,-77.74,"06/25/19, 18:32:43",75,54,87.01,10.29
113,sorland,NO,67.67,12.69,"06/25/19, 18:32:43",75,76,50.0,10.29
114,necochea,AR,-38.55,-58.74,"06/25/19, 18:32:43",31,69,50.0,11.99
115,west plains,US,36.73,-91.85,"06/25/19, 18:32:39",1,54,88.0,9.17
116,carnarvon,ZA,-30.97,22.13,"06/25/19, 18:32:43",0,28,50.65,8.95
117,kropotkin,RU,45.43,40.58,"06/25/19, 18:32:43",14,72,75.67,10.07
118,eureka,US,40.8,-124.16,"06/25/19, 18:32:41",1,82,63.0,5.82
119,tabou,CI,4.42,-7.36,"06/25/19, 18:32:44",80,88,76.03,6.87
120,kisanga,CD,-11.72,27.4,"06/25/19, 18:32:44",0,48,59.83,3.74
121,san patricio,PY,-26.98,-56.83,"06/25/19, 18:28:21",96,92,57.13,13.15
122,green river,US,41.53,-109.47,"06/25/19, 18:32:44",1,20,73.99,9.17
123,north platte,US,41.12,-100.77,"06/25/19, 18:31:21",1,42,80.6,6.93
124,colares,PT,38.8,-9.45,"06/25/19, 18:32:44",75,64,73.0,9.17
125,vila velha,BR,-3.71,-38.6,"06/25/19, 18:31:26",20,58,86.0,17.22
126,manokwari,ID,-0.87,134.08,"06/25/19, 18:32:44",41,81,73.15,5.19
127,san jose del potrero,HN,14.83,-87.28,"06/25/19, 18:32:44",40,43,89.6,3.24
128,lakes entrance,AU,-37.88,147.99,"06/25/19, 18:32:45",18,93,30.99,5.39
129,ondjiva,AO,-17.07,15.73,"06/25/19, 18:32:45",0,20,77.0,2.24
130,formosa,AR,-26.19,-58.17,"06/25/19, 18:32:45",90,82,55.4,27.51
131,vallenar,CL,-28.58,-70.76,"06/25/19, 18:32:45",0,47,62.53,8.99
132,san andres,PH,13.32,122.68,"06/25/19, 18:32:46",99,90,78.55,2.44
133,tura,IN,25.52,90.21,"06/25/19, 18:32:46",100,86,80.53,11.01
134,narrabri,AU,-30.33,149.78,"06/25/19, 18:28:56",89,66,53.01,13.87
135,narsaq,GL,60.91,-46.05,"06/25/19, 18:32:46",75,42,64.4,5.82
136,houma,CN,35.63,111.36,"06/25/19, 18:32:46",0,56,70.27,5.06
137,lingyuan,CN,41.24,119.4,"06/25/19, 18:32:46",72,65,65.59,7.65
138,caravelas,BR,-17.73,-39.27,"06/25/19, 18:32:46",2,64,80.17,9.93
139,randolph,US,41.67,-111.18,"06/25/19, 18:32:47",1,28,80.01,14.99
140,atbasar,KZ,51.81,68.36,"06/25/19, 18:28:32",51,61,72.61,9.55
141,beloomut,RU,54.94,39.34,"06/25/19, 18:32:47",96,52,57.0,4.07
142,esperance,TT,10.24,-61.45,"06/25/19, 18:32:47",20,55,89.01,12.75
143,cidreira,BR,-30.17,-50.22,"06/25/19, 18:32:47",100,60,74.59,13.94
144,lagoa,PT,37.14,-8.45,"06/25/19, 18:32:48",0,78,73.0,12.75
145,cayenne,GF,4.94,-52.33,"06/25/19, 18:28:03",40,78,82.4,6.93
146,sinazongwe,ZM,-17.26,27.46,"06/25/19, 18:32:48",0,51,61.81,4.21
147,ribeira grande,PT,38.52,-28.7,"06/25/19, 18:32:48",20,56,69.8,12.75
148,souillac,FR,45.6,-0.6,"06/25/19, 18:32:48",0,51,87.01,4.7
149,khonsa,IN,26.99,95.51,"06/25/19, 18:32:48",85,87,70.99,3.33
150,limbang,BN,4.75,115.01,"06/25/19, 18:32:49",75,94,82.4,1.12
151,tongzi,CN,28.78,105.09,"06/25/19, 18:32:49",99,97,69.19,2.59
152,ostrovnoy,RU,68.05,39.51,"06/25/19, 18:28:19",88,69,47.05,3.89
153,stromness,CA,42.87,-79.55,"06/25/19, 18:32:49",75,64,75.99,18.34
154,upernavik,GL,72.79,-56.15,"06/25/19, 18:32:49",100,92,36.43,13.29
155,inhambane,MZ,-23.87,35.38,"06/25/19, 18:30:12",0,77,66.2,3.78
156,kaitangata,NZ,-46.28,169.85,"06/25/19, 18:32:49",16,76,42.01,5.99
157,conceicao da barra,BR,-18.59,-39.73,"06/25/19, 18:28:07",17,61,81.43,4.88
158,kavieng,PG,-2.57,150.8,"06/25/19, 18:32:49",43,73,84.67,10.63
159,chapais,CA,49.78,-74.86,"06/25/19, 18:32:50",90,76,57.2,9.17
160,progreso,UY,-34.68,-56.22,"06/25/19, 18:32:50",40,54,52.0,18.34
161,karaton,ID,-6.34,106.1,"06/25/19, 18:32:50",20,78,78.8,3.36
162,nefteyugansk,RU,61.09,72.61,"06/25/19, 18:28:16",0,62,53.6,4.47
163,airai,TL,-8.93,125.41,"06/25/19, 18:32:50",2,75,65.41,6.08
164,chabahar,IR,25.29,60.65,"06/25/19, 18:29:25",18,74,87.8,1.3
165,kalianget,ID,-7.74,113.68,"06/25/19, 18:32:50",48,91,62.89,2.33
166,hermanus,ZA,-34.42,19.24,"06/25/19, 18:32:51",48,85,59.0,8.01
167,amahai,ID,-3.31,129.0,"06/25/19, 18:32:51",66,87,76.93,13.31
168,anadyr,RU,64.73,177.51,"06/25/19, 18:32:51",0,66,48.2,13.42
169,zalegoshch,RU,52.9,36.89,"06/25/19, 18:32:14",69,81,60.73,3.53
170,sedona,US,34.87,-111.79,"06/25/19, 18:32:23",1,9,87.01,9.17
171,carlisle,GB,54.89,-2.94,"06/25/19, 18:30:51",100,87,68.0,9.17
172,na klang,TH,17.3,102.21,"06/25/19, 18:32:51",100,88,76.93,1.72
173,lebu,ET,8.96,38.73,"06/25/19, 18:32:51",75,59,64.4,4.54
174,lompoc,US,34.64,-120.46,"06/25/19, 18:31:16",90,77,64.4,4.7
175,ipixuna,BR,-1.76,-48.8,"06/25/19, 18:32:52",40,55,89.6,9.17
176,zyryanka,RU,65.73,150.89,"06/25/19, 18:32:52",5,57,64.69,3.74
177,mushie,CD,-3.02,16.92,"06/25/19, 18:32:52",12,44,81.61,3.69
178,chilca,PE,-13.22,-72.34,"06/25/19, 18:32:52",0,12,68.0,9.17
179,krasnyy profintern,RU,57.74,40.44,"06/25/19, 18:32:52",0,59,60.8,4.47
180,hasaki,JP,35.73,140.83,"06/25/19, 18:32:52",20,100,64.4,2.24
181,hilo,US,19.71,-155.08,"06/25/19, 18:32:53",1,61,81.0,5.82
182,ancud,CL,-41.87,-73.83,"06/25/19, 18:32:53",90,93,44.6,11.41
183,paka,HR,45.29,18.06,"06/25/19, 18:32:53",0,74,82.0,4.7
184,pochutla,MX,15.74,-96.47,"06/25/19, 18:32:53",75,62,87.8,13.87
185,talnakh,RU,69.49,88.39,"06/25/19, 18:32:53",75,86,39.2,8.95
186,east london,ZA,-33.02,27.91,"06/25/19, 18:32:53",90,93,57.2,11.41
187,mayskiy,RU,43.63,44.06,"06/25/19, 18:32:54",40,48,82.4,4.47
188,torbay,CA,47.66,-52.73,"06/25/19, 18:29:06",40,72,62.01,9.17
189,lavrentiya,RU,65.58,-170.99,"06/25/19, 18:32:54",84,77,39.67,7.85
190,tasiilaq,GL,65.61,-37.64,"06/25/19, 18:31:36",5,66,48.2,16.11
191,davenda,RU,53.56,119.32,"06/25/19, 18:32:54",65,91,50.65,4.68
192,longhua,CN,29.21,106.21,"06/25/19, 18:32:55",91,95,67.57,1.23
193,mecca,SA,21.43,39.83,"06/25/19, 18:32:55",100,32,92.41,3.83
194,shakawe,BW,-18.36,21.84,"06/25/19, 18:32:55",0,23,62.53,3.49
195,qasigiannguit,GL,68.82,-51.19,"06/25/19, 18:32:55",75,57,50.0,6.93
196,porto torres,IT,40.84,8.4,"06/25/19, 18:32:55",0,38,89.6,12.75
197,poltavka,RU,54.36,71.76,"06/25/19, 18:32:55",90,88,67.57,7.74
198,avera,US,33.19,-82.53,"06/25/19, 18:32:55",1,52,91.99,6.93
199,chernyshevskiy,RU,63.01,112.47,"06/25/19, 18:28:41",58,64,63.97,3.76
200,faya,SA,18.39,42.45,"06/25/19, 18:32:56",40,46,77.0,4.7
201,saskylakh,RU,71.97,114.09,"06/25/19, 18:32:56",83,52,68.83,3.78
202,praya,ID,-8.71,116.27,"06/25/19, 18:32:56",20,100,68.0,8.72
203,mantenopolis,BR,-18.86,-41.12,"06/25/19, 18:32:56",47,52,81.79,2.91
204,muros,ES,42.77,-9.06,"06/25/19, 18:32:56",20,72,70.0,8.05
205,madang,PG,-5.21,145.81,"06/25/19, 18:32:56",53,97,70.99,1.25
206,elat,CM,2.91,11.16,"06/25/19, 18:32:57",54,92,69.91,5.55
207,lorengau,PG,-2.02,147.27,"06/25/19, 18:28:02",19,84,79.27,4.36
208,fairbanks,US,64.84,-147.72,"06/25/19, 18:31:06",1,59,69.01,2.68
209,codrington,AU,-28.95,153.24,"06/25/19, 18:32:57",90,93,59.0,5.79
210,guane,CU,22.2,-84.09,"06/25/19, 18:32:57",0,77,83.95,12.28
211,marinette,US,45.1,-87.63,"06/25/19, 18:32:57",1,47,84.0,9.17
212,sola,FI,62.78,29.36,"06/25/19, 18:28:40",0,87,55.99,3.36
213,izumo,JP,35.37,132.75,"06/25/19, 18:32:57",20,88,64.4,2.24
214,kaeo,NZ,-35.1,173.78,"06/25/19, 18:32:58",52,95,48.0,3.0
215,barra do corda,BR,-5.5,-45.25,"06/25/19, 18:32:58",60,42,88.81,5.48
216,olinda,EC,-2.03,-79.75,"06/25/19, 18:28:33",75,78,78.8,5.82
217,hobyo,SO,5.35,48.53,"06/25/19, 18:32:58",0,78,77.65,25.32
218,los llanos de aridane,ES,28.66,-17.92,"06/25/19, 18:32:58",75,73,73.4,10.29
219,ornskoldsvik,SE,63.29,18.72,"06/25/19, 18:32:58",0,71,57.2,4.7
220,khani,GE,41.96,42.96,"06/25/19, 18:32:58",75,88,78.8,5.82
221,kongolo,CD,-5.39,27.0,"06/25/19, 18:32:59",53,35,78.19,2.57
222,gadarwara,IN,22.92,78.78,"06/25/19, 18:32:59",85,41,94.03,8.03
223,port hardy,CA,50.7,-127.42,"06/25/19, 18:32:59",40,81,53.6,5.82
224,juneau,US,58.3,-134.42,"06/25/19, 18:32:59",20,68,64.4,8.05
225,bilma,NE,18.69,12.92,"06/25/19, 18:32:59",61,17,99.07,11.97
226,kaoma,ZM,-14.8,24.8,"06/25/19, 18:32:59",0,34,63.97,4.32
227,damphu,BT,27.07,90.11,"06/25/19, 18:33:00",100,96,66.49,2.55
228,santa cruz del sur,CU,20.71,-78.0,"06/25/19, 18:33:00",1,41,93.85,6.06
229,brae,GB,60.4,-1.35,"06/25/19, 18:33:00",0,81,53.6,11.41
230,ilulissat,GL,69.22,-51.1,"06/25/19, 18:28:14",75,57,50.0,6.93
231,namibe,AO,-15.19,12.15,"06/25/19, 18:33:00",8,80,66.49,11.41
232,simbahan,PH,6.3,120.58,"06/25/19, 18:33:00",75,77,83.05,12.24
233,vostok,RU,46.45,135.83,"06/25/19, 18:33:00",100,97,61.27,3.4
234,joacaba,BR,-27.18,-51.5,"06/25/19, 18:33:00",68,58,72.97,8.12
235,fuxin,CN,42.02,121.65,"06/25/19, 18:33:01",100,78,67.03,14.83
236,conceicao do araguaia,BR,-8.26,-49.26,"06/25/19, 18:30:04",100,41,88.09,6.22
237,rocha,UY,-34.48,-54.34,"06/25/19, 18:33:01",100,61,48.31,19.24
238,coihaique,CL,-45.58,-72.07,"06/25/19, 18:33:01",75,99,42.8,5.82
239,kodiak,US,39.95,-94.76,"06/25/19, 18:33:01",1,54,84.99,13.87
240,kargasok,RU,59.06,80.87,"06/25/19, 18:33:01",52,68,63.61,3.09
241,ahvaz,IR,31.32,48.68,"06/25/19, 18:33:02",0,13,104.0,4.7
242,port shepstone,ZA,-30.74,30.45,"06/25/19, 18:33:02",100,85,56.59,2.75
243,djibo,BF,14.1,-1.63,"06/25/19, 18:33:02",99,19,104.47,5.53
244,turukhansk,RU,65.8,87.96,"06/25/19, 18:33:02",34,72,47.95,10.18
245,myitkyina,MM,25.38,97.4,"06/25/19, 18:33:02",100,98,73.15,1.9
246,mar del plata,AR,-46.43,-67.52,"06/25/19, 18:33:02",1,35,42.73,13.38
247,khandyga,RU,62.65,135.58,"06/25/19, 18:33:02",53,85,51.01,4.21
248,tabuk,PH,17.41,121.44,"06/25/19, 18:33:03",99,97,65.23,1.28
249,gunnedah,AU,-30.98,150.25,"06/25/19, 18:33:03",97,93,42.8,5.82
250,iqaluit,CA,63.75,-68.52,"06/25/19, 18:33:03",75,66,50.0,5.82
251,aripuana,BR,-9.17,-60.63,"06/25/19, 18:33:03",76,35,94.03,3.98
252,tiksi,RU,71.64,128.87,"06/25/19, 18:33:03",51,59,52.09,3.58
253,yakeshi,CN,49.28,120.73,"06/25/19, 18:33:03",50,93,61.63,14.61
254,moron,VE,10.49,-68.2,"06/25/19, 18:33:03",45,66,86.65,6.73
255,nuuk,GL,64.17,-51.74,"06/25/19, 18:29:43",75,100,48.2,14.99
256,cochrane,CL,-47.25,-72.57,"06/25/19, 18:33:04",75,55,39.2,7.78
257,kyabram,AU,-36.31,145.05,"06/25/19, 18:33:04",0,93,39.99,4.0
258,aketi,CD,2.74,23.78,"06/25/19, 18:33:04",100,97,70.63,2.75
259,dharampur,IN,30.9,77.02,"06/25/19, 18:33:04",40,62,86.0,2.24
260,murray bridge,AU,-35.12,139.28,"06/25/19, 18:33:04",0,75,54.0,7.67
261,damavand,IR,35.72,52.07,"06/25/19, 18:33:04",75,12,96.01,4.7
262,aklavik,CA,68.22,-135.01,"06/25/19, 18:33:05",75,87,42.8,11.41
263,hamilton,CA,43.26,-79.87,"06/25/19, 18:33:03",75,64,75.99,18.34
264,saint anthony,US,43.97,-111.68,"06/25/19, 18:33:05",20,26,73.99,4.41
265,bathsheba,BB,13.22,-59.52,"06/25/19, 18:29:29",40,66,86.0,19.46
266,asha,RU,54.99,57.29,"06/25/19, 18:33:05",0,88,53.71,4.14
267,nakuru,KE,-0.28,36.07,"06/25/19, 18:33:06",91,92,55.87,0.78
268,kawalu,ID,-7.38,108.21,"06/25/19, 18:33:06",44,94,65.05,4.16
269,haimen,CN,31.87,121.18,"06/25/19, 18:33:06",87,81,73.99,8.7
270,zhangjiakou,CN,40.77,114.88,"06/25/19, 18:33:06",53,62,63.79,6.42
271,kulhudhuffushi,MV,6.62,73.07,"06/25/19, 18:33:06",83,78,83.59,12.84
272,itarema,BR,-2.92,-39.92,"06/25/19, 18:28:34",10,58,86.47,9.33
273,nanga eboko,CM,4.68,12.37,"06/25/19, 18:33:07",82,97,70.63,5.23
274,aksu,KZ,52.04,76.93,"06/25/19, 18:29:56",0,82,64.4,6.71
275,tual,ID,-5.67,132.75,"06/25/19, 18:33:07",86,83,78.91,21.03
276,ariquemes,BR,-9.91,-63.03,"06/25/19, 18:33:07",96,48,88.27,3.91
277,jieshi,CN,22.82,115.83,"06/25/19, 18:33:07",38,93,77.65,2.08
278,talas,TR,38.69,35.55,"06/25/19, 18:33:07",0,39,78.8,13.87
279,tambun,MY,4.62,101.14,"06/25/19, 18:33:07",75,83,80.6,3.36
280,macia,MZ,-25.03,33.09,"06/25/19, 18:33:07",14,87,62.53,5.23
281,harbour breton,CA,47.48,-55.8,"06/25/19, 18:33:08",37,84,47.41,12.21
282,marsa matruh,EG,31.35,27.25,"06/25/19, 18:33:08",40,83,78.8,11.41
283,umm lajj,SA,25.02,37.27,"06/25/19, 18:30:45",0,63,87.19,10.8
284,payo,ID,-3.75,103.64,"06/25/19, 18:33:08",38,92,65.95,3.13
285,troitsko-pechorsk,RU,62.71,56.19,"06/25/19, 18:33:08",58,74,45.07,4.63
286,haines junction,CA,60.75,-137.51,"06/25/19, 18:28:30",96,59,60.55,2.13
287,meulaboh,ID,4.14,96.13,"06/25/19, 18:33:08",59,75,82.33,7.87
288,tessalit,ML,20.2,1.01,"06/25/19, 18:33:08",61,5,109.69,11.36
289,falam,MM,22.91,93.68,"06/25/19, 18:33:09",99,99,65.95,2.48
290,arak,IR,34.1,49.69,"06/25/19, 18:33:09",0,17,75.31,5.23
291,tadine,NC,-21.55,167.88,"06/25/19, 18:33:09",63,88,72.25,16.15
292,sillanwali,PK,31.83,72.54,"06/25/19, 18:33:09",3,26,97.09,2.77
293,washougal,US,45.58,-122.35,"06/25/19, 18:33:09",90,63,70.0,4.7
294,ginda,IN,30.69,78.49,"06/25/19, 18:29:05",75,74,84.2,8.05
295,yumen,CN,40.29,97.04,"06/25/19, 18:33:09",100,30,70.99,14.61
296,sindgi,IN,16.92,76.23,"06/25/19, 18:33:10",100,81,78.91,18.97
297,lukovetskiy,RU,64.29,41.92,"06/25/19, 18:33:10",40,67,57.2,2.24
298,tuktoyaktuk,CA,69.44,-133.03,"06/25/19, 18:33:10",75,80,39.2,19.46
299,umm kaddadah,SD,13.6,26.69,"06/25/19, 18:33:10",46,35,90.79,9.64
300,san rafael,AR,-34.61,-68.33,"06/25/19, 18:33:11",0,23,49.93,17.16
301,bandundu,CD,-3.32,17.38,"06/25/19, 18:33:11",10,37,81.79,2.01
302,vaitape,PF,-16.52,-151.75,"06/25/19, 18:33:11",69,72,79.09,15.52
303,srednekolymsk,RU,67.46,153.71,"06/25/19, 18:33:11",15,42,68.11,3.65
304,bani walid,LY,31.76,14.0,"06/25/19, 18:33:12",0,17,90.25,15.5
305,rawson,AR,-43.3,-65.11,"06/25/19, 18:33:12",0,42,44.71,14.92
306,broome,GB,52.47,1.45,"06/25/19, 18:28:36",75,93,75.0,10.29
307,gasa,BT,27.91,89.73,"06/25/19, 18:33:12",100,92,42.19,5.64
308,poyarkovo,RU,49.62,128.65,"06/25/19, 18:33:12",100,96,60.01,2.42
